S.NO,DATE,TASK,RESPONSIBLE PERSON,COMMITMENT DATE,COMPLETION DATE,"STATUS
 (Pending / Completed)",REMARKS,DELAY REASON
1,30-10-2025,Location wise report for Camp,Charan,04-11-2025,,Completed,"We did the Vlookup with sales, unable to track 75% of sales. We recommend team to update the sales in the feedback sheet/ CRM","So, we were unable to prepare the report "
2,30-10-2025,Overall camp report Month wise,Charan,04-11-2025,,Completed,,
3,30-10-2025,GMB Suspenison update,Charan,Daily,31/9/25,Completed,Unsuspended on 31/9/25 ,
4,30-10-2025,GMB Gads not spending ,Charan,01-11-2025,6/9/25,Completed,"1. Meeting scheduled on 3/11/25 by 5clk
2. We will be launching new campaigns in new smart account",
5,30-10-2025,High end Influncer for Dec 2025,Sylvia,30-12-2025,,Pending,,
6,30-10-2025,Local influencer for branches with less walkin,Sylvia,30-12-2025,,Initiated,,
7,13-11-2025,"YT Banner, Playlist",Lincy,15-11-2025,28-11-25,Completed,Need to edit ,
8,13-11-2025,"Intagram, Highlights",Lincy,15-11-2025,15-11-2025,Competed,,
9,20-11-2025,Link Tree in Instagram,Charan,21-11-2025,28-11-25,Completed,Purchase Pro ,
10,27-11-2025,Meta & Google sales Campaign Name,Sylvia,,,Completed,,
11,27-11-2025,YT Testimonial Videos,Lincy,27-11-2025,,Completed,,
12,18-12-2025,Location wise leads report,Charan,20-12-2025,,Completed,,
13,18-12-2025,Always on New set confirmation,Sylvia,20-12-2025,14-01-2026,Completed,,
14,09-01-2026,Change CAC table - based on financial year,Charan,Next Meeting,,Completed,,
15,09-01-2026,Always on to start today ,Charan,,14-01-2026,Completed,,
16,09-01-2026,Remove Sold Column,Charan,Next Meeting,,Completed,,
17,09-01-2026,3 New visuals for ads,Lincy,12-01-2026,,,1 visual pending,
18,22-01-2026,CAC - sheet,Karthik,22-01-2026,22-01-2026,Completed,,
19,22-01-2026,"Mazhalai - LP, FB & Insta (Ramanad)",Karthik,22-01-2026,23-01-2026,Completed,,
20,22-01-2027,Upload Videos,Lincy,22-01-2026,23-01-2026,Completed,,
21,22-01-2028,Location for Mazhalai Ramanad,Sylvia,22-01-2026,,Completed,,
22,22-01-2029,Camp Ad,Charan,22-01-2026,31-01-2026,Completed,"Feb 6,7,8 (ads from Feb 1 - 7)",
23,22-01-2029,"Copy change in SG FB, Add link tree for Mobile numbers",Lincy,22-01-2026,23-01-2026,Completed,"Copy change done, Link tree is pending",
24,22-01-2029,"Video for Madurai Ad, Republic day visual",Sylvia,22-01-2026,22-01-2029,Completed,,
25,29-01-2026,Media plan for february,Charan,29-01-2026,31-01-2026,Completed,,
26,29-01-2026,TVL feedback - on sales,Charan,29-01-2026,29-01-2026,Completed,No Sales ,
